Accession,Host,Collection_Date
QGH58959,Suidae,2017-06-01
AIY56473,Suidae,2012
QEJ80654,Hominidae,2016-02-09
AKD32488,Hominidae,2008
WAA68173,Suidae,2009
BBM12491,Hominidae,2017
AXL64590,Phasianidae,2015
QIN53351,Phasianidae,2005
ANC33770,Hominidae,2013
ANC33771,Hominidae,2013
QBJ02186,Suidae,2017-04
QWQ58758,Hominidae,2016
WKR37774,Hominidae,2018-01-02
AYE56649,Hominidae,2012
ANC33765,Hominidae,2013
ANC33774,Hominidae,2013
WND64022,Bovidae,2008
ANC33773,Hominidae,2013
WDV18541,Hominidae,2018
ANC33755,Hominidae,2013
ANC33777,Hominidae,2013
ANC33779,Hominidae,2013
ANC33761,Hominidae,2013
ANC33776,Hominidae,2013
QWQ58750,Hominidae,2017
QWQ58755,Hominidae,2016
AUT30226,Hominidae,2010
ANC33762,Hominidae,2013
ANC33767,Hominidae,2013
AHZ91223,Hominidae,2010-06-15
QXY09213,Hominidae,2012-07-10
AIL83422,Hominidae,2012
AFP87388,Hominidae,2007-01-05
WDV18535,Hominidae,2018
QWQ58753,Hominidae,2016
AKD32458,Hominidae,2008
AGK89897,Bovidae,2009
QWQ58751,Hominidae,2017
QWQ58752,Hominidae,2017
QWQ58754,Hominidae,2016
QWQ58757,Hominidae,2016
AMD82103,Suidae,2012
WMQ66081,Hominidae,2018-03-06
QAR18083,Hominidae,2011
ANC33763,Hominidae,2013
ANC33778,Hominidae,2013
QXY08890,Hominidae,2012-02-10
BAQ58862,Hominidae,1990
QJW71473,Suidae,2011-07-22
AXQ59806,Suidae,2012-02-08
AXQ59816,Suidae,2012-03-02
AXQ59830,Suidae,2012-04-10
AXQ59832,Suidae,2012-04-19
AXQ59844,Suidae,2012-03-16
ANC33752,Hominidae,2013
ANC33754,Hominidae,2013
ANC33772,Hominidae,2013
ANC33780,Hominidae,2013
AIO05678,Suidae,2010-11
AIO05679,Suidae,2010-11
BFO01492,Suidae,2018-06-14
WZL09317,Suidae,2018
ANC33775,Hominidae,2013
QXY09192,Hominidae,2012-06-27
QAR18084,Hominidae,2014
ANC33759,Hominidae,2013
QBJ02303,Suidae,2017-04
QBJ02372,Suidae,2017-04
AXQ59796,Suidae,2012-01-20
AXQ59797,Suidae,2012-01-24
AXQ59798,Suidae,2012-01-25
AXQ59799,Suidae,2012-01-25
AXQ59800,Suidae,2012-01-25
AXQ59802,Suidae,2012-02-02
AXQ59803,Suidae,2012-02-02
AXQ59805,Suidae,2012-02-08
AXQ59810,Suidae,2012-02-24
AXQ59811,Suidae,2012-02-28
AXQ59812,Suidae,2012-02-28
AXQ59815,Suidae,2012-03-02
AXQ59817,Suidae,2012-03-05
AXQ59820,Suidae,2012-03-07
AXQ59821,Suidae,2012-03-07
AXQ59822,Suidae,2012-03-07
AXQ59823,Suidae,2012-03-08
AXQ59825,Suidae,2012-03-14
AXQ59826,Suidae,2012-03-16
AXQ59827,Suidae,2012-03-30
AXQ59833,Suidae,2012-04-24
AXQ59847,Suidae,2012-04-02
AXQ59849,Suidae,2012-04-10
ANC33753,Hominidae,2013
AIW53340,Phasianidae,2013-06
AIO05677,Suidae,2010-09
QGH58846,Suidae,2018-02-27
QGH58850,Suidae,2017-03-16
AYA93319,Suidae,2008-01-02
QBJ02258,Suidae,2017-04
AXQ59819,Suidae,2012-03-06
AXQ59836,Suidae,2012-05-04
AXQ59841,Suidae,2012-03-13
AGG16184,Suidae,2011-12
BFO01491,Suidae,2018-06-14
QIG55628,Hominidae,2017
QBJ02334,Suidae,2017-04
QBJ02411,Suidae,2017-04
WFG70591,Suidae,2018-08-29
QXY09057,Hominidae,2012-05-11
QGH58845,Suidae,2017-05-22
QGH58847,Suidae,2017-05-22
QGH58848,Suidae,2017-05-24
QGH58849,Suidae,2017-01-25
QGH58851,Suidae,2017-05-22
QGH58852,Suidae,2017-11-02
QGH58853,Suidae,2017-07-04
AXQ59807,Suidae,2012-02-13
AXQ59835,Suidae,2012-05-03
AXQ59839,Suidae,2012-02-24
AXQ59840,Suidae,2012-03-07
AXQ59850,Suidae,2012-04-17
AIO05680,Suidae,2011-12
AIO05681,Suidae,2013-03
QXY12205,Hominidae,2013-06-23
ANC33768,Hominidae,2013
BAQ58860,Hominidae,1990
AXQ59831,Suidae,2012-04-16
AXQ59842,Suidae,2012-03-14
AXQ59843,Suidae,2012-03-14
AXQ59845,Suidae,2012-03-19
QAR18082,Hominidae,2010
YP_008145319,Phasianidae,2003
BBM12523,Hominidae,2018
QGH58854,Suidae,2017-07-10
AXQ59801,Suidae,2012-02-01
AXQ59804,Suidae,2012-02-03
AXQ59808,Suidae,2012-02-15
AXQ59809,Suidae,2012-02-15
AXQ59813,Suidae,2012-03-01
AXQ59814,Suidae,2012-03-01
AXQ59818,Suidae,2012-03-06
AXQ59824,Suidae,2012-03-14
AXQ59828,Suidae,2012-03-30
AXQ59829,Suidae,2012-04-03
AXQ59834,Suidae,2012-04-24
AXQ59837,Suidae,2012-05-08
AXQ59838,Suidae,2012-05-11
AXQ59846,Suidae,2012-03-20
AXQ59848,Suidae,2012-03-20
BAV31507,Suidae,2015-11-27
BAV31528,Suidae,2015-07-15
BAV31539,Suidae,2015-10-23
AFL91886,Phasianidae,2003
QGH58844,Suidae,2017-11-01
QBJ02323,Suidae,2017-04
QBJ02398,Suidae,2017-04
ANC33760,Hominidae,2013
AHZ92097,Hominidae,2008-08-26
AGF86297,Hominidae,2009
QMW49380,Hominidae,2008
QGH58965,Suidae,2017-03-16
QGH58966,Suidae,2017-11-01
QGH58960,Suidae,2017-06-08
QGH58963,Suidae,2017-07-10
QGH58964,Suidae,2017-11-01
AYE56709,Hominidae,2013
BAQ58853,Hominidae,1987
XAV28503,Hominidae,2011
QXY12227,Hominidae,2013-07-12
QIJ58096,Hominidae,2017-04-14
QIJ58107,Hominidae,2018-06-05
QIJ58085,Hominidae,2017-03-23
AYE56661,Hominidae,2012
ATD10722,Hominidae,2016-02-20
ANC33757,Hominidae,2013
ANC33758,Hominidae,2013
BAU80826,Hominidae,2006
BAU80827,Hominidae,2005
BAU80828,Hominidae,2005
BAU80829,Hominidae,2005
BAU80830,Hominidae,2008
BAU80831,Hominidae,2011
BAU80832,Hominidae,2012
BAU80833,Hominidae,2011
ALV82544,Hominidae,2013
ALV82552,Hominidae,2014
ALS31043,Hominidae,2014-03
ALQ10711,Hominidae,2004
ALQ10722,Hominidae,2012
AKR13844,Hominidae,2008-04-23
AKR13848,Hominidae,2009-02-21
AKH39870,Hominidae,2013
AKH39871,Hominidae,2013
AKH39872,Hominidae,2013
AIL83368,Hominidae,2012
AGO58063,Hominidae,2008-05
AFC88083,Hominidae,2008-04
AFC88084,Hominidae,2008-05
AFC88085,Hominidae,2009-03
AEJ21069,Hominidae,2010
ADP76599,Hominidae,2005
ADP76600,Hominidae,2001
ADP76601,Hominidae,2007
ADP76602,Hominidae,2003
ADP76603,Hominidae,2008
BAH79690,Hominidae,2005-11-24
QXY09465,Hominidae,2012-08-09
QXY09572,Hominidae,2012-10-21
ANC33756,Hominidae,2013
UWV21366,Hominidae,2018-01-25
QXY09038,Hominidae,2012-04-26
AYE56637,Hominidae,2012
ANC33764,Hominidae,2013
AIN36683,Hominidae,2011-06
AIN36684,Hominidae,2011-06
AFR33122,Suidae,2006
AFP25323,Hominidae,1995-11
AFP25324,Hominidae,2000-10
AFP25325,Hominidae,2000-10
AFP25326,Hominidae,2004-02
AFP25327,Hominidae,2004-02
AFP25328,Hominidae,2006-10
AFP25329,Hominidae,2007-06
AFP25330,Hominidae,2009-09
AFP25331,Hominidae,2009-10
AFP25332,Hominidae,2010-03
AFP25333,Hominidae,2010-04
AFP25334,Hominidae,2010-04
AFP25335,Hominidae,2010-06
UWV21375,Hominidae,2018-05-03
UUA80936,Hominidae,2016
QXY09792,Hominidae,2013-06-05
QXY09803,Hominidae,2013-06-08
QXY09836,Hominidae,2013-06-09
QXY10130,Hominidae,2013-09-25
QXY10196,Hominidae,2014-02-22
QXY12216,Hominidae,2013-07-05
AKD32464,Hominidae,2008
UUA80935,Hominidae,2016
BBM12501,Hominidae,2017
BAQ58863,Hominidae,1990
AFR33121,Suidae,2006
QXY08941,Hominidae,2012-03-02
QXY10251,Hominidae,2014-04-08
AKA40850,Hominidae,2010-12-20
BAQ58855,Hominidae,1988
AIV43005,Hominidae,2011-11-23
AET79992,Hominidae,2009-04
AET79993,Hominidae,2004-02
AET79994,Hominidae,2000-10
ADF57873,Hominidae,2008-01
ADF57885,Hominidae,2007-11
ADF57897,Hominidae,2002-03
ACY06079,Hominidae,2007-11
WLD25312,Suidae,2017
QXY09966,Hominidae,2013-07-16
QXY10218,Hominidae,2014-03-18
ANC33766,Hominidae,2013
WKR37775,Hominidae,2018-01-02
WKR37776,Hominidae,2018-01-02
WKR37777,Hominidae,2018-01-08
URW63815,Suidae,2018
URW63828,Suidae,2018
QXY10010,Hominidae,2013-08-10
BBB17076,Hominidae,2013-02
AIY56474,Suidae,2012
AGF86138,Hominidae,2004-03
QXY10032,Hominidae,2013-08-16
QIN53340,Phasianidae,2005
AGY80268,Hominidae,2006-01-12
QXY09394,Hominidae,2012-07-31
QXY09416,Hominidae,2012-08-03
QXY09858,Hominidae,2013-06-17
AIV42994,Hominidae,2011-11-30
AHZ92098,Hominidae,2008-08-26
URW63869,Suidae,2018
QXY08995,Hominidae,2012-03-24
BCO38450,Hominidae,2017
QKX94529,Hominidae,2016-07-01
BAQ58850,Hominidae,1983
BAQ58851,Hominidae,1985
BAQ58852,Hominidae,1986
BAQ58854,Hominidae,1987
BAQ58856,Hominidae,1988
BAQ58857,Hominidae,1988
BAQ58858,Hominidae,1989
BAQ58859,Hominidae,1989
BAQ58861,Hominidae,1990
BAQ58864,Hominidae,2001
BAQ58865,Hominidae,2007
BAQ58866,Hominidae,2011
BAQ58867,Hominidae,2011
BAQ58868,Hominidae,2011
AIF73730,Hominidae,2004-06-24
XDL44791,Hominidae,2017
BCO38449,Hominidae,2018
BCO38451,Hominidae,2017
BCO38452,Hominidae,2017
ALJ82977,Hominidae,2005
AIV42972,Hominidae,2009-05-30
QXY09638,Hominidae,2013-05-04
QXY12249,Hominidae,2013-12-19
AYA44332,Hominidae,2013-12-17
AXF42981,Bovidae,2006
AXF42982,Bovidae,2006
AXF42983,Bovidae,2006
